nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08319999999999972,-4.0204043783645093e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08359999999999972,-4.0881144498605103e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08399999999999971,-4.156265573116288e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08439999999999971,-4.2260280944136956e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08479999999999971,-4.2980102772550867e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0851999999999997,-4.371157693291927e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0855999999999997,-4.443280750128691e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0859999999999997,-4.5152784699554587e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0863999999999997,-4.588563196602603e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0867999999999997,-4.6619424533422524e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0871999999999997,-4.7355124658050886e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08759999999999969,-4.809066078035831e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08799999999999969,-4.882122786029218e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.08839999999999969,-4.954435677413468e-07
